Acad-Univ-Univ,7421
Acad-Univ-Coll,1015
Acad-Univ-Appl,926
Applied-Coll,875
Applied-Coll-Coll,769
Acad-Univ,558
Acad-Mixed-Univ,419
Acad-Mixed-Coll,296
Applied-Univ-Univ,270
Acad-Coll-Coll,264
Loc-Work,249
Acad-Coll,208
Applied-Univ-Coll,204
Acad-Mixed,201
Applied-Mixed-Coll,193
Applied-NoProg,177
Applied-Mixed,142
Applied-Coll-Appl,139
Applied-Work,136
NoProg-NoProg,130
Acad-Mixed-Appl,115
Acad-NoProg,112
